parent;verbatim;type;edited;source
Trifolium medium;Trifolium alpestre x medium;formula;Trifolium alpestre × medium;gbif checklists
Sorbus aria;Sorbus aria x aucuparia;formula;Sorbus aria × aucuparia;gbif checklists
Sorbus aucuparia;Sorbus aria x aucuparia;formula;Sorbus aria × aucuparia;gbif checklists
Aspidium angulare;Aspidium angulare x braunii;formula;Aspidium angulare × braunii;gbif checklists
Aspidium braunii;Aspidium angulare x braunii;formula;Aspidium angulare × braunii;gbif checklists
Dactylorhiza incarnata var. cruenta;Dactylorhiza incarnata var. cruenta x maculata ssp. fuchsii;formula;Dactylorhiza incarnata var. cruenta × maculata subsp. fuchsii;gbif checklists
Dactylorhiza incarnata var. cruenta;Dactylorhiza incarnata var. cruenta × maculata subsp. fuchsii;formula;Dactylorhiza incarnata var. cruenta × maculata subsp. fuchsii;gbif checklists
Dactylorhiza incarnata var. cruenta;Dactylorhiza incarnata var. cruenta × maculata ssp. fuchsii;formula;Dactylorhiza incarnata var. cruenta × maculata subsp. fuchsii;gbif checklists
Dactylorhiza incarnata var. cruenta;Dactylorhiza incarnata var. cruenta x maculata subsp. fuchsii;formula;Dactylorhiza incarnata var. cruenta × maculata subsp. fuchsii;gbif checklists
Dactylorhiza maculata subsp. fuchsii;Dactylorhiza incarnata var. cruenta x maculata ssp. fuchsii;formula;Dactylorhiza incarnata var. cruenta × maculata subsp. fuchsii;gbif checklists
Dactylorhiza maculata subsp. fuchsii;Dactylorhiza incarnata var. cruenta × maculata subsp. fuchsii;formula;Dactylorhiza incarnata var. cruenta × maculata subsp. fuchsii;gbif checklists
Dactylorhiza maculata subsp. fuchsii;Dactylorhiza incarnata var. cruenta × maculata ssp. fuchsii;formula;Dactylorhiza incarnata var. cruenta × maculata subsp. fuchsii;gbif checklists
Dactylorhiza maculata subsp. fuchsii;Dactylorhiza incarnata var. cruenta x maculata subsp. fuchsii;formula;Dactylorhiza incarnata var. cruenta × maculata subsp. fuchsii;gbif checklists
Senecio vernalis;Senecio vernalis x vulgaris;formula;Senecio vernalis × vulgaris;gbif checklists
Senecio vulgaris;Senecio vernalis x vulgaris;formula;Senecio vernalis × vulgaris;gbif checklists
Cirsium arvense;Cirsium arvense x rivulare;formula;Cirsium arvense × rivulare;gbif checklists
Cirsium rivulare;Cirsium arvense x rivulare;formula;Cirsium arvense × rivulare;gbif checklists
Carex bebbii;Carex bebbii × Carex cristatella;formula;Carex bebbii × Carex cristatella;gbif checklists
Carex cristatella;Carex bebbii × Carex cristatella;formula;Carex bebbii × Carex cristatella;gbif checklists
Schedonorus arundinaceus subsp. arundinaceus;Schedonorus arundinaceus subsp. arundinaceus × giganteus;formula;Schedonorus arundinaceus subsp. arundinaceus × giganteus;gbif checklists
Schedonorus giganteus;Schedonorus arundinaceus subsp. arundinaceus × giganteus;formula;Schedonorus arundinaceus subsp. arundinaceus × giganteus;gbif checklists
Elymus caninus var. caninus;Elymus caninus var. caninus × mutabilis;formula;Elymus caninus var. caninus × mutabilis;gbif checklists
Elymus caninus var. caninus;Elymus caninus var. caninus x mutabilis;formula;Elymus caninus var. caninus × mutabilis;gbif checklists
Elymus mutabilis;Elymus caninus var. caninus × mutabilis;formula;Elymus caninus var. caninus × mutabilis;gbif checklists
Elymus mutabilis;Elymus caninus var. caninus x mutabilis;formula;Elymus caninus var. caninus × mutabilis;gbif checklists
Dryas integrifolia;Dryas integrifolia × octopetala;formula;Dryas integrifolia × octopetala;gbif checklists
Dryas octopetala;Dryas integrifolia × octopetala;formula;Dryas integrifolia × octopetala;gbif checklists
Chusquea vulcanalis soderstrom & c. calderón) l.g. clark;Chusquea vulcanalis (soderstrom & c. calderón) l.g. clark x c. subtessellata;formula;Chusquea vulcanalis (soderstrom & c. calderón) l.g. clark × c. subtessellata;gbif checklists
Chusquea c. subtessellata;Chusquea vulcanalis (soderstrom & c. calderón) l.g. clark x c. subtessellata;formula;Chusquea vulcanalis (soderstrom & c. calderón) l.g. clark × c. subtessellata;gbif checklists
Salix geyeriana;Salix geyeriana × Salix lemmonii;formula;Salix geyeriana × Salix lemmonii;gbif checklists
Salix lemmonii;Salix geyeriana × Salix lemmonii;formula;Salix geyeriana × Salix lemmonii;gbif checklists
Quercus cerris;Quercus cerris x Quercus robur;formula;Quercus cerris × Quercus robur;gbif checklists
Quercus robur;Quercus cerris x Quercus robur;formula;Quercus cerris × Quercus robur;gbif checklists
Chenopodium album;Chenopodium album × opulifolium;formula;Chenopodium album × opulifolium;gbif checklists
Chenopodium album;Chenopodium album x opulifolium;formula;Chenopodium album × opulifolium;gbif checklists
Chenopodium opulifolium;Chenopodium album × opulifolium;formula;Chenopodium album × opulifolium;gbif checklists
Chenopodium opulifolium;Chenopodium album x opulifolium;formula;Chenopodium album × opulifolium;gbif checklists
Anemia phyllitidis;Anemia phyllitidis x flexuosa;formula;Anemia phyllitidis × flexuosa;gbif checklists
Anemia flexuosa;Anemia phyllitidis x flexuosa;formula;Anemia phyllitidis × flexuosa;gbif checklists
Weissia crispata;Weissia crispata x astomum crispum;formula;Weissia crispata × astomum crispum;gbif checklists
Weissia astomum crispum;Weissia crispata x astomum crispum;formula;Weissia crispata × astomum crispum;gbif checklists
Hypericum maculatum subsp. maculatum;Hypericum maculatum ssp. maculatum × tetrapterum;formula;Hypericum maculatum subsp. maculatum × tetrapterum;gbif checklists
Hypericum maculatum subsp. maculatum;Hypericum maculatum ssp. maculatum x tetrapterum;formula;Hypericum maculatum subsp. maculatum × tetrapterum;gbif checklists
Hypericum tetrapterum;Hypericum maculatum ssp. maculatum × tetrapterum;formula;Hypericum maculatum subsp. maculatum × tetrapterum;gbif checklists
Hypericum tetrapterum;Hypericum maculatum ssp. maculatum x tetrapterum;formula;Hypericum maculatum subsp. maculatum × tetrapterum;gbif checklists
Hypericum maculatum;Hypericum maculatum × tetrapterum;formula;Hypericum maculatum × tetrapterum;gbif checklists
Hypericum maculatum;Hypericum maculatum x tetrapterum;formula;Hypericum maculatum × tetrapterum;gbif checklists
Hypericum tetrapterum;Hypericum maculatum × tetrapterum;formula;Hypericum maculatum × tetrapterum;gbif checklists
Hypericum tetrapterum;Hypericum maculatum x tetrapterum;formula;Hypericum maculatum × tetrapterum;gbif checklists
Verbascum phoeniceum;Verbascum phoeniceum × pyramidatum;formula;Verbascum phoeniceum × pyramidatum;gbif checklists
Verbascum phoeniceum;Verbascum phoeniceum x pyramidatum;formula;Verbascum phoeniceum × pyramidatum;gbif checklists
Verbascum pyramidatum;Verbascum phoeniceum × pyramidatum;formula;Verbascum phoeniceum × pyramidatum;gbif checklists
Verbascum pyramidatum;Verbascum phoeniceum x pyramidatum;formula;Verbascum phoeniceum × pyramidatum;gbif checklists
Prunella grandiflora;Prunella grandiflora x laciniata;formula;Prunella grandiflora × laciniata;gbif checklists
Prunella laciniata;Prunella grandiflora x laciniata;formula;Prunella grandiflora × laciniata;gbif checklists
Veronica anagallis-aquatica;Veronica anagallis-aquatica × beccabunga;formula;Veronica anagallis-aquatica × beccabunga;gbif checklists
Veronica anagallis-aquatica;Veronica anagallis-aquatica x beccabunga;formula;Veronica anagallis-aquatica × beccabunga;gbif checklists
Veronica beccabunga;Veronica anagallis-aquatica × beccabunga;formula;Veronica anagallis-aquatica × beccabunga;gbif checklists
Veronica beccabunga;Veronica anagallis-aquatica x beccabunga;formula;Veronica anagallis-aquatica × beccabunga;gbif checklists
Rumex crispus var. microcarpus;Rumex crispus var. microcarpus × obtusifolius;formula;Rumex crispus var. microcarpus × obtusifolius;gbif checklists
Rumex crispus var. microcarpus;Rumex crispus var. microcarpus x obtusifolius;formula;Rumex crispus var. microcarpus × obtusifolius;gbif checklists
Rumex obtusifolius;Rumex crispus var. microcarpus × obtusifolius;formula;Rumex crispus var. microcarpus × obtusifolius;gbif checklists
Rumex obtusifolius;Rumex crispus var. microcarpus x obtusifolius;formula;Rumex crispus var. microcarpus × obtusifolius;gbif checklists
Rumex bryhnii;Rumex bryhnii × obtusifolius;formula;Rumex bryhnii × obtusifolius;gbif checklists
Rumex obtusifolius;Rumex bryhnii × obtusifolius;formula;Rumex bryhnii × obtusifolius;gbif checklists
Saxifraga aizoides;Saxifraga aizoides x mutata;formula;Saxifraga aizoides × mutata;gbif checklists
Saxifraga mutata;Saxifraga aizoides x mutata;formula;Saxifraga aizoides × mutata;gbif checklists
Euphorbia cyparissias;Euphorbia cyparissias x salicifolia;formula;Euphorbia cyparissias × salicifolia;gbif checklists
Euphorbia salicifolia;Euphorbia cyparissias x salicifolia;formula;Euphorbia cyparissias × salicifolia;gbif checklists
Ophrys lupercalis;Ophrys lupercalis x Ophrys tenthredinifera;formula;Ophrys lupercalis × Ophrys tenthredinifera;gbif checklists
Ophrys tenthredinifera;Ophrys lupercalis x Ophrys tenthredinifera;formula;Ophrys lupercalis × Ophrys tenthredinifera;gbif checklists
Acer nigrum;Acer nigrum × Acer saccharum;formula;Acer nigrum × Acer saccharum;gbif checklists
Acer saccharum;Acer nigrum × Acer saccharum;formula;Acer nigrum × Acer saccharum;gbif checklists
Triglochin gaspensis;Triglochin gaspensis × Triglochin maritima;formula;Triglochin gaspensis × Triglochin maritima;gbif checklists
Triglochin maritima;Triglochin gaspensis × Triglochin maritima;formula;Triglochin gaspensis × Triglochin maritima;gbif checklists
Cystopteris alpina;Cystopteris alpina × fragilis;formula;Cystopteris alpina × fragilis;gbif checklists
Cystopteris alpina;Cystopteris alpina x fragilis;formula;Cystopteris alpina × fragilis;gbif checklists
Cystopteris fragilis;Cystopteris alpina × fragilis;formula;Cystopteris alpina × fragilis;gbif checklists
Cystopteris fragilis;Cystopteris alpina x fragilis;formula;Cystopteris alpina × fragilis;gbif checklists
Nephrolepis pendula j smith;Nephrolepis pendula  j smith x undulata;formula;Nephrolepis pendula j smith × undulata;gbif checklists
Nephrolepis undulata;Nephrolepis pendula  j smith x undulata;formula;Nephrolepis pendula j smith × undulata;gbif checklists
Viola persicifolia;Viola persicifolia × uliginosa;formula;Viola persicifolia × uliginosa;gbif checklists
Viola persicifolia;Viola persicifolia x uliginosa;formula;Viola persicifolia × uliginosa;gbif checklists
Viola uliginosa;Viola persicifolia × uliginosa;formula;Viola persicifolia × uliginosa;gbif checklists
Viola uliginosa;Viola persicifolia x uliginosa;formula;Viola persicifolia × uliginosa;gbif checklists
Viola stagnina;Viola stagnina × uliginosa;formula;Viola stagnina × uliginosa;gbif checklists
Viola stagnina;Viola stagnina x uliginosa;formula;Viola stagnina × uliginosa;gbif checklists
Viola uliginosa;Viola stagnina × uliginosa;formula;Viola stagnina × uliginosa;gbif checklists
Viola uliginosa;Viola stagnina x uliginosa;formula;Viola stagnina × uliginosa;gbif checklists
Physcomitrium immersum;Physcomitrium immersum x turbinatum;formula;Physcomitrium immersum × turbinatum;gbif checklists
Physcomitrium turbinatum;Physcomitrium immersum x turbinatum;formula;Physcomitrium immersum × turbinatum;gbif checklists
Cerastium fontanum subsp. fontanum;Cerastium fontanum ssp. fontanum × nigrescens;formula;Cerastium fontanum subsp. fontanum × nigrescens;gbif checklists
Cerastium fontanum subsp. fontanum;Cerastium fontanum subsp. fontanum × nigrescens;formula;Cerastium fontanum subsp. fontanum × nigrescens;gbif checklists
Cerastium fontanum subsp. fontanum;Cerastium fontanum ssp. fontanum x nigrescens;formula;Cerastium fontanum subsp. fontanum × nigrescens;gbif checklists
Cerastium fontanum subsp. fontanum;Cerastium fontanum subsp. fontanum x nigrescens;formula;Cerastium fontanum subsp. fontanum × nigrescens;gbif checklists
Cerastium nigrescens;Cerastium fontanum ssp. fontanum × nigrescens;formula;Cerastium fontanum subsp. fontanum × nigrescens;gbif checklists
Cerastium nigrescens;Cerastium fontanum subsp. fontanum × nigrescens;formula;Cerastium fontanum subsp. fontanum × nigrescens;gbif checklists
Cerastium nigrescens;Cerastium fontanum ssp. fontanum x nigrescens;formula;Cerastium fontanum subsp. fontanum × nigrescens;gbif checklists
Cerastium nigrescens;Cerastium fontanum subsp. fontanum x nigrescens;formula;Cerastium fontanum subsp. fontanum × nigrescens;gbif checklists
Gentiana lutea;Gentiana lutea x pannonica;formula;Gentiana lutea × pannonica;gbif checklists
Gentiana pannonica;Gentiana lutea x pannonica;formula;Gentiana lutea × pannonica;gbif checklists
Salix hastata;Salix hastata × lanata ssp. glandulifera;formula;Salix hastata × lanata subsp. glandulifera;gbif checklists
Salix hastata;Salix hastata × lanata subsp. glandulifera;formula;Salix hastata × lanata subsp. glandulifera;gbif checklists
Salix hastata;Salix hastata x lanata subsp. glandulifera;formula;Salix hastata × lanata subsp. glandulifera;gbif checklists
Salix hastata;Salix hastata x lanata ssp. glandulifera;formula;Salix hastata × lanata subsp. glandulifera;gbif checklists
Salix lanata subsp. glandulifera;Salix hastata × lanata ssp. glandulifera;formula;Salix hastata × lanata subsp. glandulifera;gbif checklists
Salix lanata subsp. glandulifera;Salix hastata × lanata subsp. glandulifera;formula;Salix hastata × lanata subsp. glandulifera;gbif checklists
Salix lanata subsp. glandulifera;Salix hastata x lanata subsp. glandulifera;formula;Salix hastata × lanata subsp. glandulifera;gbif checklists
Salix lanata subsp. glandulifera;Salix hastata x lanata ssp. glandulifera;formula;Salix hastata × lanata subsp. glandulifera;gbif checklists
Salix hastata;Salix hastata x glandulifera;formula;Salix hastata × glandulifera;gbif checklists
Salix hastata;Salix hastata × glandulifera;formula;Salix hastata × glandulifera;gbif checklists
Salix glandulifera;Salix hastata x glandulifera;formula;Salix hastata × glandulifera;gbif checklists
Salix glandulifera;Salix hastata × glandulifera;formula;Salix hastata × glandulifera;gbif checklists
Bromus commutatus;Bromus commutatus × hordeaceus ssp. hordeaceus;formula;Bromus commutatus × hordeaceus subsp. hordeaceus;gbif checklists
Bromus commutatus;Bromus commutatus × hordeaceus subsp. hordeaceus;formula;Bromus commutatus × hordeaceus subsp. hordeaceus;gbif checklists
Bromus commutatus;Bromus commutatus x hordeaceus subsp. hordeaceus;formula;Bromus commutatus × hordeaceus subsp. hordeaceus;gbif checklists
Bromus commutatus;Bromus commutatus x hordeaceus ssp. hordeaceus;formula;Bromus commutatus × hordeaceus subsp. hordeaceus;gbif checklists
Bromus hordeaceus subsp. hordeaceus;Bromus commutatus × hordeaceus ssp. hordeaceus;formula;Bromus commutatus × hordeaceus subsp. hordeaceus;gbif checklists
Bromus hordeaceus subsp. hordeaceus;Bromus commutatus × hordeaceus subsp. hordeaceus;formula;Bromus commutatus × hordeaceus subsp. hordeaceus;gbif checklists
Bromus hordeaceus subsp. hordeaceus;Bromus commutatus x hordeaceus subsp. hordeaceus;formula;Bromus commutatus × hordeaceus subsp. hordeaceus;gbif checklists
Bromus hordeaceus subsp. hordeaceus;Bromus commutatus x hordeaceus ssp. hordeaceus;formula;Bromus commutatus × hordeaceus subsp. hordeaceus;gbif checklists
Gentiana lutea;Gentiana lutea x punctata;formula;Gentiana lutea × punctata;gbif checklists
Gentiana punctata;Gentiana lutea x punctata;formula;Gentiana lutea × punctata;gbif checklists
Erythrina chiapasana;Erythrina chiapasana x goldmanii;formula;Erythrina chiapasana × goldmanii;gbif checklists
Erythrina goldmanii;Erythrina chiapasana x goldmanii;formula;Erythrina chiapasana × goldmanii;gbif checklists
Amaranthus hybridus;Amaranthus hybridus × Amaranthus tuberculatus var. tuberculatus;formula;Amaranthus hybridus × Amaranthus tuberculatus var. tuberculatus;gbif checklists
Amaranthus tuberculatus var. tuberculatus;Amaranthus hybridus × Amaranthus tuberculatus var. tuberculatus;formula;Amaranthus hybridus × Amaranthus tuberculatus var. tuberculatus;gbif checklists
Sonchus asper;Sonchus asper × oleraceus;formula;Sonchus asper × oleraceus;gbif checklists
Sonchus asper;Sonchus asper x oleraceus;formula;Sonchus asper × oleraceus;gbif checklists
Sonchus oleraceus;Sonchus asper × oleraceus;formula;Sonchus asper × oleraceus;gbif checklists
Sonchus oleraceus;Sonchus asper x oleraceus;formula;Sonchus asper × oleraceus;gbif checklists
Asplenium cuneifolium;Asplenium cuneifolium x septentrionale subsp. septentrionale;formula;Asplenium cuneifolium × septentrionale subsp. septentrionale;gbif checklists
Asplenium septentrionale subsp. septentrionale;Asplenium cuneifolium x septentrionale subsp. septentrionale;formula;Asplenium cuneifolium × septentrionale subsp. septentrionale;gbif checklists
Elytrigia juncea;Elytrigia juncea x Leymus arenarius;formula;Elytrigia juncea × Leymus arenarius;gbif checklists
Elytrigia juncea;Elytrigia juncea × Leymus arenarius;formula;Elytrigia juncea × Leymus arenarius;gbif checklists
Leymus arenarius;Elytrigia juncea x Leymus arenarius;formula;Elytrigia juncea × Leymus arenarius;gbif checklists
Leymus arenarius;Elytrigia juncea × Leymus arenarius;formula;Elytrigia juncea × Leymus arenarius;gbif checklists
Rosa canina;Rosa canina × rubiginosa;formula;Rosa canina × rubiginosa;gbif checklists
Rosa canina;Rosa canina x rubiginosa;formula;Rosa canina × rubiginosa;gbif checklists
Rosa rubiginosa;Rosa canina × rubiginosa;formula;Rosa canina × rubiginosa;gbif checklists
Rosa rubiginosa;Rosa canina x rubiginosa;formula;Rosa canina × rubiginosa;gbif checklists
Rosa canina agg.;Rosa canina agg. × rubiginosa;formula;Rosa canina agg. × rubiginosa;gbif checklists
Rosa canina agg.;Rosa canina agg. x rubiginosa;formula;Rosa canina agg. × rubiginosa;gbif checklists
Rosa rubiginosa;Rosa canina agg. × rubiginosa;formula;Rosa canina agg. × rubiginosa;gbif checklists
Rosa rubiginosa;Rosa canina agg. x rubiginosa;formula;Rosa canina agg. × rubiginosa;gbif checklists
Sisymbrium altissimum;Sisymbrium altissimum x officinale;formula;Sisymbrium altissimum × officinale;gbif checklists
Sisymbrium altissimum;Sisymbrium altissimum × officinale;formula;Sisymbrium altissimum × officinale;gbif checklists
Sisymbrium officinale;Sisymbrium altissimum x officinale;formula;Sisymbrium altissimum × officinale;gbif checklists
Sisymbrium officinale;Sisymbrium altissimum × officinale;formula;Sisymbrium altissimum × officinale;gbif checklists
Verbascum blattaria;Verbascum blattaria x lychnitis;formula;Verbascum blattaria × lychnitis;gbif checklists
Verbascum lychnitis;Verbascum blattaria x lychnitis;formula;Verbascum blattaria × lychnitis;gbif checklists
Pilosella officinarum;Pilosella officinarum x suecica;formula;Pilosella officinarum × suecica;gbif checklists
Pilosella officinarum;Pilosella officinarum × suecica;formula;Pilosella officinarum × suecica;gbif checklists
Pilosella suecica;Pilosella officinarum x suecica;formula;Pilosella officinarum × suecica;gbif checklists
Pilosella suecica;Pilosella officinarum × suecica;formula;Pilosella officinarum × suecica;gbif checklists
Ophrys lupercalis;Ophrys lupercalis x Ophrys lutea;formula;Ophrys lupercalis × Ophrys lutea;gbif checklists
Ophrys lutea;Ophrys lupercalis x Ophrys lutea;formula;Ophrys lupercalis × Ophrys lutea;gbif checklists
Fissidens adianthoides;Fissidens adianthoides x decipiens;formula;Fissidens adianthoides × decipiens;gbif checklists
Fissidens decipiens;Fissidens adianthoides x decipiens;formula;Fissidens adianthoides × decipiens;gbif checklists
Pulsatilla pratensis;Pulsatilla pratensis × vernalis;formula;Pulsatilla pratensis × vernalis;gbif checklists
Pulsatilla pratensis;Pulsatilla pratensis x vernalis;formula;Pulsatilla pratensis × vernalis;gbif checklists
Pulsatilla vernalis;Pulsatilla pratensis × vernalis;formula;Pulsatilla pratensis × vernalis;gbif checklists
Pulsatilla vernalis;Pulsatilla pratensis x vernalis;formula;Pulsatilla pratensis × vernalis;gbif checklists
Centaurea debeauxii;Centaurea debeauxii × jacea;formula;Centaurea debeauxii × jacea;gbif checklists
Centaurea debeauxii;Centaurea debeauxii x jacea;formula;Centaurea debeauxii × jacea;gbif checklists
Centaurea jacea;Centaurea debeauxii × jacea;formula;Centaurea debeauxii × jacea;gbif checklists
Centaurea jacea;Centaurea debeauxii x jacea;formula;Centaurea debeauxii × jacea;gbif checklists
Cirsium acaulon;Cirsium acaulon x oleraceum;formula;Cirsium acaulon × oleraceum;gbif checklists
Cirsium oleraceum;Cirsium acaulon x oleraceum;formula;Cirsium acaulon × oleraceum;gbif checklists
Fragaria chiloënsis;Fragaria chiloënsis x viridis;formula;Fragaria chiloënsis × viridis;gbif checklists
Fragaria chiloënsis;Fragaria chiloënsis × viridis;formula;Fragaria chiloënsis × viridis;gbif checklists
Fragaria viridis;Fragaria chiloënsis x viridis;formula;Fragaria chiloënsis × viridis;gbif checklists
Fragaria viridis;Fragaria chiloënsis × viridis;formula;Fragaria chiloënsis × viridis;gbif checklists
Carex appropinquata;Carex appropinquata x canescens;formula;Carex appropinquata × canescens;gbif checklists
Carex appropinquata;Carex appropinquata × canescens;formula;Carex appropinquata × canescens;gbif checklists
Carex canescens;Carex appropinquata x canescens;formula;Carex appropinquata × canescens;gbif checklists
Carex canescens;Carex appropinquata × canescens;formula;Carex appropinquata × canescens;gbif checklists
Dactylorhiza incarnata var. cruenta;Dactylorhiza incarnata var. cruenta x maculata subsp. maculata;formula;Dactylorhiza incarnata var. cruenta × maculata subsp. maculata;gbif checklists
Dactylorhiza incarnata var. cruenta;Dactylorhiza incarnata var. cruenta × maculata subsp. maculata;formula;Dactylorhiza incarnata var. cruenta × maculata subsp. maculata;gbif checklists
Dactylorhiza incarnata var. cruenta;Dactylorhiza incarnata var. cruenta x maculata ssp. maculata;formula;Dactylorhiza incarnata var. cruenta × maculata subsp. maculata;gbif checklists
Dactylorhiza incarnata var. cruenta;Dactylorhiza incarnata var. cruenta × maculata ssp. maculata;formula;Dactylorhiza incarnata var. cruenta × maculata subsp. maculata;gbif checklists
Dactylorhiza maculata subsp. maculata;Dactylorhiza incarnata var. cruenta x maculata subsp. maculata;formula;Dactylorhiza incarnata var. cruenta × maculata subsp. maculata;gbif checklists
Dactylorhiza maculata subsp. maculata;Dactylorhiza incarnata var. cruenta × maculata subsp. maculata;formula;Dactylorhiza incarnata var. cruenta × maculata subsp. maculata;gbif checklists
Dactylorhiza maculata subsp. maculata;Dactylorhiza incarnata var. cruenta x maculata ssp. maculata;formula;Dactylorhiza incarnata var. cruenta × maculata subsp. maculata;gbif checklists
Dactylorhiza maculata subsp. maculata;Dactylorhiza incarnata var. cruenta × maculata ssp. maculata;formula;Dactylorhiza incarnata var. cruenta × maculata subsp. maculata;gbif checklists
Rorippa amphibia;Rorippa amphibia x austriaca;formula;Rorippa amphibia × austriaca;gbif checklists
Rorippa austriaca;Rorippa amphibia x austriaca;formula;Rorippa amphibia × austriaca;gbif checklists
Epilobium ciliatum;Epilobium ciliatum x hirsutum;formula;Epilobium ciliatum × hirsutum;gbif checklists
Epilobium hirsutum;Epilobium ciliatum x hirsutum;formula;Epilobium ciliatum × hirsutum;gbif checklists
Cedrus atlantica;Cedrus atlantica x Cedrus libani;formula;Cedrus atlantica × Cedrus libani;gbif checklists
Cedrus libani;Cedrus atlantica x Cedrus libani;formula;Cedrus atlantica × Cedrus libani;gbif checklists
Salix caprea;Salix caprea x repens ssp. repens;formula;Salix caprea × repens subsp. repens;gbif checklists
Salix caprea;Salix caprea × repens subsp. repens;formula;Salix caprea × repens subsp. repens;gbif checklists
Salix caprea;Salix caprea x repens subsp. repens;formula;Salix caprea × repens subsp. repens;gbif checklists
Salix caprea;Salix caprea × repens ssp. repens;formula;Salix caprea × repens subsp. repens;gbif checklists
Salix repens subsp. repens;Salix caprea x repens ssp. repens;formula;Salix caprea × repens subsp. repens;gbif checklists
Salix repens subsp. repens;Salix caprea × repens subsp. repens;formula;Salix caprea × repens subsp. repens;gbif checklists
Salix repens subsp. repens;Salix caprea x repens subsp. repens;formula;Salix caprea × repens subsp. repens;gbif checklists
Salix repens subsp. repens;Salix caprea × repens ssp. repens;formula;Salix caprea × repens subsp. repens;gbif checklists
Salix cinerea subsp. cinerea;Salix cinerea subsp. cinerea x repens;formula;Salix cinerea subsp. cinerea × repens;gbif checklists
Salix repens;Salix cinerea subsp. cinerea x repens;formula;Salix cinerea subsp. cinerea × repens;gbif checklists
Carex hirta;Carex hirta × rostrata;formula;Carex hirta × rostrata;gbif checklists
Carex rostrata;Carex hirta × rostrata;formula;Carex hirta × rostrata;gbif checklists
Geum macrophyllum;Geum macrophyllum × rivale;formula;Geum macrophyllum × rivale;gbif checklists
Geum macrophyllum;Geum macrophyllum x rivale;formula;Geum macrophyllum × rivale;gbif checklists
Geum rivale;Geum macrophyllum × rivale;formula;Geum macrophyllum × rivale;gbif checklists
Geum rivale;Geum macrophyllum x rivale;formula;Geum macrophyllum × rivale;gbif checklists
Anemia flexuosa;Anemia flexuosa x phyllitidis;formula;Anemia flexuosa × phyllitidis;gbif checklists
Anemia phyllitidis;Anemia flexuosa x phyllitidis;formula;Anemia flexuosa × phyllitidis;gbif checklists
Salix lapponum;Salix lapponum x phylicifolia;formula;Salix lapponum × phylicifolia;gbif checklists
Salix lapponum;Salix lapponum × phylicifolia;formula;Salix lapponum × phylicifolia;gbif checklists
Salix phylicifolia;Salix lapponum x phylicifolia;formula;Salix lapponum × phylicifolia;gbif checklists
Salix phylicifolia;Salix lapponum × phylicifolia;formula;Salix lapponum × phylicifolia;gbif checklists
Viola utahensis ms baker & jc clausen;Viola utahensis ms baker & jc clausen x beckwithii;formula;Viola utahensis ms baker & jc clausen × beckwithii;gbif checklists
Viola beckwithii;Viola utahensis ms baker & jc clausen x beckwithii;formula;Viola utahensis ms baker & jc clausen × beckwithii;gbif checklists
Quercus cerris;Quercus cerris x Quercus pyrenaica;formula;Quercus cerris × Quercus pyrenaica;gbif checklists
Quercus pyrenaica;Quercus cerris x Quercus pyrenaica;formula;Quercus cerris × Quercus pyrenaica;gbif checklists
Dactylorhiza brennensis;Dactylorhiza brennensis x Dactylorhiza maculata;formula;Dactylorhiza brennensis × Dactylorhiza maculata;gbif checklists
Dactylorhiza maculata;Dactylorhiza brennensis x Dactylorhiza maculata;formula;Dactylorhiza brennensis × Dactylorhiza maculata;gbif checklists
Carex rotundata;Carex rotundata × stenolepis;formula;Carex rotundata × stenolepis;gbif checklists
Carex stenolepis;Carex rotundata × stenolepis;formula;Carex rotundata × stenolepis;gbif checklists
Carex grahamii;Carex × grahamii × rotundata;formula;Carex × grahamii × rotundata;gbif checklists
Carex grahamii;Carex x grahamii x rotundata;formula;Carex × grahamii × rotundata;gbif checklists
Carex rotundata;Carex × grahamii × rotundata;formula;Carex × grahamii × rotundata;gbif checklists
Carex rotundata;Carex x grahamii x rotundata;formula;Carex × grahamii × rotundata;gbif checklists
Potamogeton coloratus;Potamogeton coloratus × gramineus;formula;Potamogeton coloratus × gramineus;gbif checklists
Potamogeton coloratus;Potamogeton coloratus x gramineus;formula;Potamogeton coloratus × gramineus;gbif checklists
Potamogeton gramineus;Potamogeton coloratus × gramineus;formula;Potamogeton coloratus × gramineus;gbif checklists
Potamogeton gramineus;Potamogeton coloratus x gramineus;formula;Potamogeton coloratus × gramineus;gbif checklists
Stellaria graminea;Stellaria graminea × longifolia;formula;Stellaria graminea × longifolia;gbif checklists
Stellaria graminea;Stellaria graminea x longifolia;formula;Stellaria graminea × longifolia;gbif checklists
Stellaria longifolia;Stellaria graminea × longifolia;formula;Stellaria graminea × longifolia;gbif checklists
Stellaria longifolia;Stellaria graminea x longifolia;formula;Stellaria graminea × longifolia;gbif checklists
Jacobaea maritima;Jacobaea maritima x vulgaris;formula;Jacobaea maritima × vulgaris;gbif checklists
Jacobaea maritima;Jacobaea maritima × vulgaris;formula;Jacobaea maritima × vulgaris;gbif checklists
Jacobaea vulgaris;Jacobaea maritima x vulgaris;formula;Jacobaea maritima × vulgaris;gbif checklists
Jacobaea vulgaris;Jacobaea maritima × vulgaris;formula;Jacobaea maritima × vulgaris;gbif checklists
Hypnum fluitans;Hypnum fluitans x aduncum;formula;Hypnum fluitans × aduncum;gbif checklists
Hypnum aduncum;Hypnum fluitans x aduncum;formula;Hypnum fluitans × aduncum;gbif checklists
